🕘️更新时间,#genre#
2026-09-03 22:26:50,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd

📺央视频道,#genre#

🌊港澳台,#genre#
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视,http://ott.mobaibox.com/PLTV/-/224/3221228527/index.m3u8
凤凰卫视,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰卫视,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8
凤凰卫视,http://cdn6.163189.xyz/163189/fhzw#http://171.38.107.33:8282/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0#http://111.221.137.234:44330/tsfile/live/0141_2.m3u8?key=txiptv&playlive=0&authid=0#http://183.10.180.36:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0#
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8
凤凰香港,https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://r.jdshipin.com/NfC0f
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,https://cdn6.cc.cd/163189/fhhk
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
凤凰香港,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhhk
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,https://cdn6.cc.cd/163189/fhzx
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx
凤凰资讯,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fhzx2
凤凰资讯,http://ott.mobaibox.com/PLTV/-/224/3221228524/index.m3u8
凤凰资讯,https://cdn.qd.je/163189.php?id=fhzx
TVBJ1,http://cdn3.163189.xyz/live/j1/stream.m3u8
TVBJ1,https://hls-gateway.vpstv.net/streams/709490.m3u8
TVBJ1,https://hls-gateway.vpstv.net/streams/476199.m3u8
TVBJ1,https://cdn6.cc.cd/163189/j1
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVB1,https://hls-gateway.vpstv.net/streams/709593.m3u8
TVB1,https://cdn6.cc.cd/163189/tvb1

☘️广东频道,#genre#
广东新闻,https://hls-gateway.vpstv.net/streams/708873.m3u8
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-27.ctv
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-20.m3u8
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-2.m3u8
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-20.ctv
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-25.ctv
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-15.ctv
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-14.ctv
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-12.ctv

📡卫视频道,#genre#
